hour,mean,stdev
07:00:00,2,2
07:01:00,1,1
07:02:00,1,1
07:03:00,2,2
07:04:00,2,2
07:05:00,0,0
07:06:00,2,2
07:07:00,2,1
07:08:00,1,1
07:09:00,1,1
07:10:00,1,2
07:11:00,1,1
07:12:00,4,3
07:13:00,2,1
07:14:00,3,2
07:15:00,2,1
07:16:00,1,2
07:17:00,2,2
07:18:00,1,1
07:19:00,3,2
07:20:00,3,2
07:21:00,0,1
07:22:00,3,1
07:23:00,1,1
07:24:00,1,0
07:25:00,2,1
07:26:00,3,3
07:27:00,3,2
07:28:00,2,2
07:29:00,1,2
07:30:00,2,2
07:31:00,2,1
07:32:00,2,2
07:33:00,2,1
07:34:00,1,2
07:35:00,2,2
07:36:00,2,1
07:37:00,1,1
07:38:00,2,3
07:39:00,1,1
07:40:00,1,1
07:41:00,2,2
07:42:00,2,2
07:43:00,2,2
07:44:00,2,2
07:45:00,1,1
07:46:00,1,1
07:47:00,2,2
07:48:00,2,1
07:49:00,3,2
07:50:00,2,3
07:51:00,1,1
07:52:00,1,2
07:53:00,3,2
07:54:00,0,0
07:55:00,1,1
07:56:00,2,2
07:57:00,2,2
07:58:00,0,0
07:59:00,0,1
08:00:00,2,2
08:01:00,2,1
08:02:00,3,2
08:03:00,2,1
08:04:00,4,3
08:05:00,2,2
08:06:00,2,2
08:07:00,2,2
08:08:00,2,2
08:09:00,1,2
08:10:00,3,1
08:11:00,2,1
08:12:00,0,1
08:13:00,2,1
08:14:00,3,2
08:15:00,1,2
08:16:00,3,2
08:17:00,4,3
08:18:00,2,1
08:19:00,2,1
08:20:00,2,2
08:21:00,5,3
08:22:00,3,3
08:23:00,1,1
08:24:00,3,2
08:25:00,2,2
08:26:00,3,2
08:27:00,3,3
08:28:00,3,2
08:29:00,2,1
08:30:00,1,2
08:31:00,1,1
08:32:00,2,1
08:33:00,2,1
08:34:00,3,2
08:35:00,2,3
08:36:00,2,2
08:37:00,1,1
08:38:00,2,2
08:39:00,2,1
08:40:00,3,2
08:41:00,3,2
08:42:00,2,2
08:43:00,3,3
08:44:00,2,2
08:45:00,2,2
08:46:00,1,1
08:47:00,2,2
08:48:00,4,2
08:49:00,2,3
08:50:00,2,2
08:51:00,2,2
08:52:00,2,1
08:53:00,4,2
08:54:00,2,2
08:55:00,5,1
08:56:00,2,2
08:57:00,1,1
08:58:00,2,2
08:59:00,2,2
09:00:00,2,1
09:01:00,1,1
09:02:00,1,2
09:03:00,3,3
09:04:00,2,2
09:05:00,3,1
09:06:00,2,2
09:07:00,1,0
09:08:00,3,1
09:09:00,1,1
09:10:00,2,2
09:11:00,2,2
09:12:00,2,2
09:13:00,1,1
09:14:00,1,1
09:15:00,2,1
09:16:00,1,1
09:17:00,2,2
09:18:00,3,2
09:19:00,3,2
09:20:00,0,1
09:21:00,2,2
09:22:00,2,2
09:23:00,1,1
09:24:00,0,1
09:25:00,2,1
09:26:00,2,2
09:27:00,1,2
09:28:00,1,2
09:29:00,1,2
09:30:00,2,2
09:31:00,1,1
09:32:00,1,1
09:33:00,0,1
09:34:00,1,2
09:35:00,1,1
09:36:00,2,2
09:37:00,3,2
09:38:00,1,2
09:39:00,2,2
09:40:00,2,1
09:41:00,2,2
09:42:00,1,2
09:43:00,1,1
09:44:00,0,0
09:45:00,1,1
09:46:00,2,2
09:47:00,1,1
09:48:00,3,2
09:49:00,1,1
09:50:00,0,0
09:51:00,1,1
09:52:00,1,1
09:53:00,1,1
09:54:00,1,2
09:55:00,2,1
09:56:00,1,2
09:57:00,3,2
09:58:00,1,1
09:59:00,4,2
10:00:00,1,2
10:01:00,2,2
10:02:00,2,2
10:03:00,1,1
10:04:00,2,2
10:05:00,3,2
10:06:00,0,1
10:07:00,2,1
10:08:00,1,1
10:09:00,1,1
10:10:00,2,1
10:11:00,1,1
10:12:00,1,2
10:13:00,1,1
10:14:00,1,0
10:15:00,1,1
10:16:00,2,2
10:17:00,2,1
10:18:00,1,1
10:19:00,1,1
10:20:00,1,1
10:21:00,2,2
10:22:00,1,1
10:23:00,3,2
10:24:00,1,1
10:25:00,1,1
10:26:00,2,2
10:27:00,2,1
10:28:00,1,1
10:29:00,1,1
10:30:00,1,1
10:31:00,2,2
10:32:00,1,1
10:33:00,1,1
10:34:00,1,2
10:35:00,2,3
10:36:00,1,2
10:37:00,1,1
10:38:00,2,2
10:39:00,1,2
10:40:00,2,2
10:41:00,2,2
10:42:00,1,1
10:43:00,0,0
10:44:00,1,2
10:45:00,0,0
10:46:00,1,1
10:47:00,2,3
10:48:00,1,1
10:49:00,1,2
10:50:00,2,1
10:51:00,1,1
10:52:00,0,0
10:53:00,1,2
10:54:00,1,1
10:55:00,0,0
10:56:00,2,3
10:57:00,1,1
10:58:00,2,3
10:59:00,1,1
11:00:00,1,1
11:01:00,2,2
11:02:00,2,2
11:03:00,1,1
11:04:00,0,0
11:05:00,1,1
11:06:00,2,2
11:07:00,2,1
11:08:00,1,1
11:09:00,2,2
11:10:00,0,1
11:11:00,0,1
11:12:00,0,1
11:13:00,0,0
11:14:00,1,1
11:15:00,1,1
11:16:00,1,1
11:17:00,1,2
11:18:00,0,0
11:19:00,2,1
11:20:00,1,1
11:21:00,1,1
11:22:00,2,2
11:23:00,1,1
11:24:00,2,2
11:25:00,1,1
11:26:00,0,0
11:27:00,2,2
11:28:00,2,2
11:29:00,0,0
11:30:00,1,1
11:31:00,0,0
11:32:00,1,1
11:33:00,1,1
11:34:00,1,1
11:35:00,0,0
11:36:00,0,0
11:37:00,1,1
11:38:00,3,2
11:39:00,2,1
11:40:00,1,1
11:41:00,2,2
11:42:00,1,1
11:43:00,2,2
11:44:00,0,1
11:45:00,1,1
11:46:00,2,2
11:47:00,1,1
11:48:00,1,1
11:49:00,1,1
11:50:00,1,1
11:51:00,1,1
11:52:00,2,2
11:53:00,3,3
11:54:00,0,0
11:55:00,1,1
11:56:00,1,2
11:57:00,0,0
11:58:00,1,1
11:59:00,1,1
12:00:00,2,2
12:01:00,1,1
12:02:00,2,2
12:03:00,1,1
12:04:00,3,3
12:05:00,2,1
12:06:00,1,1
12:07:00,2,2
12:08:00,1,2
12:09:00,1,1
12:10:00,0,0
12:11:00,1,2
12:12:00,2,1
12:13:00,3,2
12:14:00,1,1
12:15:00,2,2
12:16:00,1,1
12:17:00,2,2
12:18:00,0,0
12:19:00,2,2
12:20:00,0,0
12:21:00,1,1
12:22:00,2,1
12:23:00,1,1
12:24:00,1,1
12:25:00,1,1
12:26:00,2,2
12:27:00,2,2
12:28:00,2,3
12:29:00,0,1
12:30:00,1,2
12:31:00,1,1
12:32:00,1,1
12:33:00,0,0
12:34:00,0,1
12:35:00,1,2
12:36:00,1,1
12:37:00,2,2
12:38:00,1,1
12:39:00,2,2
12:40:00,2,2
12:41:00,2,2
12:42:00,2,1
12:43:00,2,2
12:44:00,1,1
12:45:00,1,1
12:46:00,2,1
12:47:00,1,2
12:48:00,2,2
12:49:00,1,1
12:50:00,1,1
12:51:00,1,1
12:52:00,1,1
12:53:00,1,1
12:54:00,2,2
12:55:00,2,2
12:56:00,1,1
12:57:00,1,1
12:58:00,1,1
12:59:00,1,1
13:00:00,2,1
13:01:00,1,1
13:02:00,1,1
13:03:00,0,0
13:04:00,1,1
13:05:00,2,2
13:06:00,2,2
13:07:00,2,2
13:08:00,1,1
13:09:00,2,2
13:10:00,5,2
13:11:00,1,1
13:12:00,2,1
13:13:00,1,1
13:14:00,1,1
13:15:00,3,2
13:16:00,3,2
13:17:00,2,2
13:18:00,3,2
13:19:00,2,2
13:20:00,2,2
13:21:00,1,2
13:22:00,2,2
13:23:00,0,1
13:24:00,2,2
13:25:00,2,2
13:26:00,3,2
13:27:00,2,1
13:28:00,1,2
13:29:00,2,2
13:30:00,2,1
13:31:00,3,3
13:32:00,1,2
13:33:00,1,1
13:34:00,3,2
13:35:00,2,2
13:36:00,1,2
13:37:00,3,3
13:38:00,2,2
13:39:00,1,1
13:40:00,1,1
13:41:00,1,1
13:42:00,1,2
13:43:00,2,2
13:44:00,1,1
13:45:00,3,1
13:46:00,1,1
13:47:00,1,2
13:48:00,2,1
13:49:00,1,0
13:50:00,1,1
13:51:00,2,2
13:52:00,2,2
13:53:00,1,2
13:54:00,2,2
13:55:00,3,2
13:56:00,2,2
13:57:00,2,2
13:58:00,2,2
13:59:00,2,1
14:00:00,2,1
14:01:00,1,2
14:02:00,1,1
14:03:00,1,1
14:04:00,2,2
14:05:00,1,2
14:06:00,2,1
14:07:00,1,2
14:08:00,2,2
14:09:00,2,1
14:10:00,1,1
14:11:00,3,2
14:12:00,1,1
14:13:00,1,1
14:14:00,0,1
14:15:00,1,1
14:16:00,2,2
14:17:00,2,2
14:18:00,0,0
14:19:00,1,1
14:20:00,3,2
14:21:00,2,1
14:22:00,3,3
14:23:00,3,2
14:24:00,2,2
14:25:00,1,2
14:26:00,0,0
14:27:00,2,2
14:28:00,2,2
14:29:00,2,1
14:30:00,3,3
14:31:00,1,1
14:32:00,1,1
14:33:00,1,1
14:34:00,2,1
14:35:00,1,2
14:36:00,2,2
14:37:00,0,0
14:38:00,4,3
14:39:00,1,1
14:40:00,4,2
14:41:00,2,2
14:42:00,1,1
14:43:00,3,2
14:44:00,2,2
14:45:00,3,2
14:46:00,1,1
14:47:00,1,1
14:48:00,1,1
14:49:00,0,0
14:50:00,1,1
14:51:00,3,2
14:52:00,2,3
14:53:00,1,1
14:54:00,0,0
14:55:00,2,2
14:56:00,1,1
14:57:00,1,1
14:58:00,2,2
14:59:00,3,2
15:00:00,2,2
15:01:00,1,1
15:02:00,1,2
15:03:00,2,2
15:04:00,1,1
15:05:00,2,1
15:06:00,2,2
15:07:00,1,1
15:08:00,3,2
15:09:00,2,2
15:10:00,2,1
15:11:00,1,1
15:12:00,2,1
15:13:00,1,1
15:14:00,1,1
15:15:00,2,2
15:16:00,1,1
15:17:00,1,1
15:18:00,2,1
15:19:00,1,1
15:20:00,1,2
15:21:00,1,1
15:22:00,1,2
15:23:00,2,1
15:24:00,2,2
15:25:00,1,1
15:26:00,1,1
15:27:00,2,2
15:28:00,2,1
15:29:00,2,1
15:30:00,0,1
15:31:00,0,0
15:32:00,1,2
15:33:00,2,2
15:34:00,2,1
15:35:00,0,1
15:36:00,1,1
15:37:00,1,0
15:38:00,1,1
15:39:00,1,2
15:40:00,2,2
15:41:00,2,2
15:42:00,1,1
15:43:00,1,1
15:44:00,1,2
15:45:00,2,2
15:46:00,2,1
15:47:00,2,2
15:48:00,0,0
15:49:00,1,1
15:50:00,1,2
15:51:00,0,1
15:52:00,1,1
15:53:00,0,1
15:54:00,2,2
15:55:00,2,2
15:56:00,1,1
15:57:00,1,1
15:58:00,1,1
15:59:00,1,2
16:00:00,2,2
16:01:00,2,2
16:02:00,1,1
16:03:00,2,2
16:04:00,2,2
16:05:00,1,1
16:06:00,1,1
16:07:00,1,1
16:08:00,0,0
16:09:00,1,1
16:10:00,3,2
16:11:00,1,1
16:12:00,2,2
16:13:00,2,2
16:14:00,1,2
16:15:00,3,1
16:16:00,2,2
16:17:00,4,2
16:18:00,0,1
16:19:00,2,1
16:20:00,1,1
16:21:00,0,0
16:22:00,1,1
16:23:00,2,2
16:24:00,2,2
16:25:00,2,1
16:26:00,1,1
16:27:00,1,1
16:28:00,1,1
16:29:00,3,2
16:30:00,2,1
16:31:00,1,1
16:32:00,3,2
16:33:00,3,1
16:34:00,0,0
16:35:00,2,2
16:36:00,3,4
16:37:00,1,1
16:38:00,2,3
16:39:00,2,1
16:40:00,2,2
16:41:00,2,2
16:42:00,2,2
16:43:00,3,2
16:44:00,1,1
16:45:00,1,1
16:46:00,1,2
16:47:00,3,2
16:48:00,2,3
16:49:00,1,1
16:50:00,2,2
16:51:00,3,2
16:52:00,4,2
16:53:00,3,1
16:54:00,2,3
16:55:00,1,1
16:56:00,2,2
16:57:00,2,2
16:58:00,1,1
16:59:00,2,2
17:00:00,3,1
17:01:00,1,1
17:02:00,1,1
17:03:00,2,2
17:04:00,3,2
17:05:00,1,1
17:06:00,3,2
17:07:00,1,2
17:08:00,2,1
17:09:00,2,2
17:10:00,1,2
17:11:00,1,1
17:12:00,0,0
17:13:00,4,2
17:14:00,2,2
17:15:00,3,2
17:16:00,3,1
17:17:00,3,1
17:18:00,3,3
17:19:00,2,3
17:20:00,2,2
17:21:00,2,1
17:22:00,1,1
17:23:00,1,1
17:24:00,2,1
17:25:00,2,1
17:26:00,1,1
17:27:00,1,0
17:28:00,2,1
17:29:00,1,1
17:30:00,1,1
17:31:00,4,1
17:32:00,2,2
17:33:00,1,1
17:34:00,2,2
17:35:00,2,2
17:36:00,1,1
17:37:00,1,1
17:38:00,1,1
17:39:00,3,3
17:40:00,2,1
17:41:00,2,3
17:42:00,1,1
17:43:00,2,1
17:44:00,5,3
17:45:00,1,1
17:46:00,2,2
17:47:00,2,2
17:48:00,3,2
17:49:00,3,3
17:50:00,1,1
17:51:00,2,2
17:52:00,3,1
17:53:00,2,2
17:54:00,0,1
17:55:00,2,2
17:56:00,1,1
17:57:00,2,1
17:58:00,3,2
17:59:00,2,1
18:00:00,1,2
18:01:00,4,2
18:02:00,3,2
18:03:00,2,2
18:04:00,3,2
18:05:00,1,1
18:06:00,3,1
18:07:00,1,1
18:08:00,2,1
18:09:00,1,0
18:10:00,2,2
18:11:00,2,2
18:12:00,2,1
18:13:00,2,3
18:14:00,3,3
18:15:00,2,2
18:16:00,1,0
18:17:00,2,2
18:18:00,3,2
18:19:00,2,1
18:20:00,2,2
18:21:00,3,2
18:22:00,2,2
18:23:00,1,1
18:24:00,2,3
18:25:00,3,2
18:26:00,1,1
18:27:00,3,2
18:28:00,1,2
18:29:00,2,2
18:30:00,2,1
18:31:00,3,1
18:32:00,2,2
18:33:00,2,2
18:34:00,3,1
18:35:00,3,2
18:36:00,1,1
18:37:00,2,2
18:38:00,2,2
18:39:00,3,2
18:40:00,3,2
18:41:00,2,1
18:42:00,3,2
18:43:00,2,2
18:44:00,2,0
18:45:00,2,2
18:46:00,1,1
18:47:00,2,1
18:48:00,3,2
18:49:00,2,2
18:50:00,2,1
18:51:00,3,1
18:52:00,1,1
18:53:00,2,1
18:54:00,2,2
18:55:00,2,1
18:56:00,2,2
18:57:00,3,1
18:58:00,3,2
18:59:00,3,2
19:00:00,2,4
19:01:00,3,2
19:02:00,3,2
19:03:00,3,3
19:04:00,2,1
19:05:00,2,2
19:06:00,3,2
19:07:00,3,2
19:08:00,2,2
19:09:00,3,2
19:10:00,4,2
19:11:00,2,2
19:12:00,2,2
19:13:00,3,2
19:14:00,3,3
19:15:00,3,2
19:16:00,3,1
19:17:00,5,3
19:18:00,2,1
19:19:00,1,1
19:20:00,2,2
19:21:00,2,2
19:22:00,2,1
19:23:00,3,2
19:24:00,2,2
19:25:00,2,2
19:26:00,2,2
19:27:00,3,2
19:28:00,3,3
19:29:00,3,1
19:30:00,5,3
19:31:00,2,2
19:32:00,2,1
19:33:00,2,2
19:34:00,3,2
19:35:00,1,1
19:36:00,2,1
19:37:00,2,2
19:38:00,3,3
19:39:00,3,2
19:40:00,2,2
19:41:00,0,0
19:42:00,2,2
19:43:00,3,2
19:44:00,1,2
19:45:00,3,3
19:46:00,2,2
19:47:00,3,3
19:48:00,2,1
19:49:00,3,2
19:50:00,4,2
19:51:00,3,1
19:52:00,3,2
19:53:00,3,2
19:54:00,2,2
19:55:00,3,3
19:56:00,2,2
19:57:00,2,2
19:58:00,3,3
19:59:00,2,2
20:00:00,1,0
20:01:00,1,1
20:02:00,2,1
20:03:00,1,1
20:04:00,2,2
20:05:00,1,2
20:06:00,3,1
20:07:00,2,3
20:08:00,1,1
20:09:00,1,0
20:10:00,1,1
20:11:00,0,1
20:12:00,2,2
20:13:00,3,2
20:14:00,1,1
20:15:00,2,2
20:16:00,2,2
20:17:00,2,1
20:18:00,1,1
20:19:00,2,2
20:20:00,2,3
20:21:00,2,2
20:22:00,0,0
20:23:00,1,1
20:24:00,1,1
20:25:00,2,2
20:26:00,2,2
20:27:00,1,1
20:28:00,1,1
20:29:00,1,1
20:30:00,2,1
20:31:00,2,2
20:32:00,2,2
20:33:00,2,1
20:34:00,0,0
20:35:00,1,2
20:36:00,1,1
20:37:00,2,2
20:38:00,2,2
20:39:00,1,2
20:40:00,1,1
20:41:00,2,2
20:42:00,1,1
20:43:00,1,2
20:44:00,1,2
20:45:00,3,2
20:46:00,1,1
20:47:00,2,2
20:48:00,1,1
20:49:00,2,2
20:50:00,1,1
20:51:00,4,3
20:52:00,1,1
20:53:00,3,2
20:54:00,2,2
20:55:00,0,0
20:56:00,1,1
20:57:00,3,3
20:58:00,2,2
20:59:00,2,2
21:00:00,1,1
21:01:00,1,1
21:02:00,2,2
21:03:00,2,2
21:04:00,0,0
21:05:00,2,2
21:06:00,2,2
21:07:00,0,0
21:08:00,1,1
21:09:00,1,1
21:10:00,1,1
21:11:00,1,0
21:12:00,1,1
21:13:00,0,0
21:14:00,1,2
21:15:00,2,2
21:16:00,2,2
21:17:00,2,1
21:18:00,1,1
21:19:00,1,2
21:20:00,2,1
21:21:00,1,1
21:22:00,1,1
21:23:00,0,0
21:24:00,1,2
21:25:00,2,1
21:26:00,2,2
21:27:00,1,1
21:28:00,1,2
21:29:00,3,2
21:30:00,1,2
21:31:00,1,1
21:32:00,2,1
21:33:00,1,1
21:34:00,1,2
21:35:00,1,1
21:36:00,0,0
21:37:00,1,1
21:38:00,0,0
21:39:00,0,0
21:40:00,2,2
21:41:00,1,0
21:42:00,1,1
21:43:00,2,1
21:44:00,0,0
21:45:00,0,1
21:46:00,2,1
21:47:00,1,1
21:48:00,2,2
21:49:00,0,0
21:50:00,1,1
